Individual,Trial,Predator,Circle,Initial,Total,Treatment,ColourDifference ,Brightness,Scale Time,Pattern Scale,Avg time,EscapeResponse,ColourDiffPercent,ColourDiff,Brightness.DifferencePercent,Brightness.Difference,Length,Size
2,1,N,B,6,7,NB,0.398625731,1039.125,1,2,6.5,SLOW,39.8625731,0.398625731,1.5917969,0.015917969,255,25.5
2,2,B,B,1,2,BB,0.398625731,1039.125,1,2,1.5,FAST,39.8625731,0.398625731,1.5917969,0.015917969,255,25.5
2,3,F,B,1,2,FB,0.398625731,1039.125,1,2,1.5,FAST,39.8625731,0.398625731,1.5917969,0.015917969,255,25.5
2,4,N,Y,5,7,NY,0.211008417,20887.03,1,2,6,SLOW,21.1008417,0.211008417,31.9960631,0.319960631,255,25.5
2,5,B,Y,1,2,BY,0.211008417,20887.03,1,2,1.5,FAST,21.1008417,0.211008417,31.9960631,0.319960631,255,25.5
2,6,F,Y,1,2,FY,0.211008417,20887.03,1,2,1.5,FAST,21.1008417,0.211008417,31.9960631,0.319960631,255,25.5
3,1,N,B,1,2,NB,0.235115268,450.5583333,1,1,1.5,FAST,23.5115268,0.235115268,0.6901935,0.006901935,281,28.1
3,2,B,B,2,3,BB,0.235115268,450.5583333,1,1,2.5,FAST,23.5115268,0.235115268,0.6901935,0.006901935,281,28.1
3,3,F,B,1,2,FB,0.235115268,450.5583333,1,1,1.5,FAST,23.5115268,0.235115268,0.6901935,0.006901935,281,28.1
3,4,N,Y,1,2,NY,0.065446579,21592.16633,1,1,1.5,FAST,6.5446579,0.065446579,33.0762352,0.330762352,281,28.1
3,5,B,Y,1,2,BY,0.065446579,21592.16633,1,1,1.5,FAST,6.5446579,0.065446579,33.0762352,0.330762352,281,28.1
3,6,F,Y,2,3,FY,0.065446579,21592.16633,1,1,2.5,FAST,6.5446579,0.065446579,33.0762352,0.330762352,281,28.1
5,1,N,B,4,5,NB,0.047878204,2876.557333,1,2,4.5,FAST,4.7878204,0.047878204,4.406491,0.04406491,283,28.3
5,2,B,B,1,2,BB,0.047878204,2876.557333,1,2,1.5,FAST,4.7878204,0.047878204,4.406491,0.04406491,283,28.3
5,3,F,B,2,4,FB,0.047878204,2876.557333,1,2,3,FAST,4.7878204,0.047878204,4.406491,0.04406491,283,28.3
5,4,N,Y,3,4,NY,0.244086617,24225.599,1,2,3.5,FAST,24.4086617,0.244086617,37.11029259,0.371102926,283,28.3
5,5,B,Y,1,2,BY,0.244086617,24225.599,1,2,1.5,FAST,24.4086617,0.244086617,37.11029259,0.371102926,283,28.3
5,6,F,Y,1,2,FY,0.244086617,24225.599,1,2,1.5,FAST,24.4086617,0.244086617,37.11029259,0.371102926,283,28.3
10,1,N,B,4,5,NB,0.284830363,1259.674333,1,2,4.5,FAST,28.4830363,0.284830363,1.9296482,0.019296482,139,13.9
10,2,B,B,1,2,BB,0.284830363,1259.674333,1,2,1.5,FAST,28.4830363,0.284830363,1.9296482,0.019296482,139,13.9
10,3,F,B,1,2,FB,0.284830363,1259.674333,1,2,1.5,FAST,28.4830363,0.284830363,1.9296482,0.019296482,139,13.9
10,4,N,Y,3,6,NY,0.127273567,20431.17633,1,2,4.5,FAST,12.7273567,0.127273567,31.2977579,0.312977579,139,13.9
