Individual,Trial,Predator,Board,Initial ,Total ,Temp. ,TimeScale,Treatment,Brightness.DifferencePercent,Brightness.Difference,EscapeResponse,ColourDiffPercent,ColourDiff,Pattern,Length,Size
1,1,P,U,3,4,20.2,1,PU,18.2300296,0.182300296,FAST,45.4653926,0.454653926,2,131,13.1
1,2,N,U,0,0,20.2,2,NU,18.2300296,0.182300296,SLOW,45.4653926,0.454653926,2,131,13.1
1,3,P,H,6,7,20.2,1,PH,17.8838511,0.178838511,FAST,17.7476136,0.177476136,2,131,13.1
1,4,N,H,30,36,20.2,2,NH,17.8838511,0.178838511,SLOW,17.7476136,0.177476136,2,131,13.1
2,1,P,U,4,10,19.6,1,PU,17.1027333,0.171027333,FAST,23.7788443,0.237788443,4,171,17.1
2,2,N,U,21,37,19.6,2,NU,17.1027333,0.171027333,SLOW,23.7788443,0.237788443,4,171,17.1
2,3,P,H,22,40,19.6,2,PH,25.6717821,0.256717821,SLOW,7.7516216,0.077516216,4,171,17.1
2,4,N,H,26,63,19.6,2,NH,25.6717821,0.256717821,SLOW,7.7516216,0.077516216,4,171,17.1
5,1,P,U,27,38,18.7,2,PU,2.1899224,0.021899224,SLOW,6.4039894,0.064039894,3,116,11.6
5,2,N,U,22,25,18.7,2,NU,2.1899224,0.021899224,SLOW,6.4039894,0.064039894,3,116,11.6
5,3,P,H,9,13,18.7,2,PH,10.5666023,0.105666023,SLOW,0.6146802,0.006146802,3,116,11.6
5,4,N,H,47,49,18.7,2,NH,10.5666023,0.105666023,SLOW,0.6146802,0.006146802,3,116,11.6
6,1,P,U,50,52,18.7,2,PU,12.8693347,0.128693347,SLOW,20.4206611,0.204206611,2,126,12.6
6,2,N,U,6,8,18.9,1,NU,12.8693347,0.128693347,FAST,20.4206611,0.204206611,2,126,12.6
6,3,P,H,24,25,18.9,2,PH,18.5603911,0.185603911,SLOW,19.6631729,0.196631729,2,126,12.6
6,4,N,H,22,24,18.9,2,NH,18.5603911,0.185603911,SLOW,19.6631729,0.196631729,2,126,12.6
7,1,P,U,19,35,18.6,2,PU,12.0371569,0.120371569,SLOW,32.9582203,0.329582203,2,462,46.2
7,2,N,U,3,4,18.6,1,NU,12.0371569,0.120371569,FAST,32.9582203,0.329582203,2,462,46.2
7,3,P,H,47,57,18.6,2,PH,31.1454396,0.311454396,SLOW,7.956489,0.07956489,2,462,46.2
7,4,N,H,43,73,18.6,2,NH,31.1454396,0.311454396,SLOW,7.956489,0.07956489,2,462,46.2
8,1,P,U,13,20,18.7,2,PU,14.0175536,0.140175536,SLOW,52.1754053,0.521754053,2,249,24.9
8,2,N,U,20,25,18.7,2,NU,14.0175536,0.140175536,SLOW,52.1754053,0.521754053,2,249,24.9
8,3,P,H,65,66,18.7,2,PH,31.6209258,0.316209258,SLOW,14.2064459,0.142064459,2,249,24.9
8,4,N,H,12,20,18.7,2,NH,31.6209258,0.316209258,SLOW,14.2064459,0.142064459,2,249,24.9
10,1,P,U,25,48,17.5,2,PU,8.5245655,0.085245655,SLOW,16.533058,0.16533058,3,120,12
10,2,N,U,15,17,17.5,2,NU,8.5245655,0.085245655,SLOW,16.533058,0.16533058,3,120,12
10,3,P,H,10,14,17.5,2,PH,11.2576414,0.112576414,SLOW,6.5218499,0.065218499,3,120,12
10,4,N,H,97,106,17.5,2,NH,11.2576414,0.112576414,SLOW,6.5218499,0.065218499,3,120,12
11,1,P,U,3,4,18,1,PU,16.9512781,0.169512781,FAST,31.7046411,0.317046411,4,232,23.2
11,2,N,U,70,73,18,2,NU,16.9512781,0.169512781,SLOW,31.7046411,0.317046411,4,232,23.2
11,3,P,H,4,9,18,1,PH,22.5173948,0.225173948,FAST,18.2156486,0.182156486,4,232,23.2
11,4,N,H,9,16,18,2,NH,22.5173948,0.225173948,SLOW,18.2156486,0.182156486,4,232,23.2
12,1,P,U,28,32,17.4,2,PU,5.4557302,0.054557302,SLOW,15.5244624,0.155244624,3,103,10.3
12,2,N,U,0,0,17.4,2,NU,5.4557302,0.054557302,SLOW,15.5244624,0.155244624,3,103,10.3
12,3,P,H,4,5,17.4,1,PH,11.7088271,0.117088271,FAST,8.8492017,0.088492017,3,103,10.3
12,4,N,H,0,0,17.4,2,NH,11.7088271,0.117088271,SLOW,8.8492017,0.088492017,3,103,10.3
14,1,P,U,18,19,18.2,2,PU,10.9593393,0.109593393,SLOW,7.1698041,0.071698041,5,157,15.7
14,2,N,U,15,20,17,2,NU,10.9593393,0.109593393,SLOW,7.1698041,0.071698041,5,157,15.7
14,3,P,H,7,8,17,1,PH,1.7728436,0.017728436,FAST,1.2025642,0.012025642,5,157,15.7
14,4,N,H,0,0,17,3,NH,1.7728436,0.017728436,SLOW,1.2025642,0.012025642,5,157,15.7
15,1,P,U,0,0,16.5,3,PU,14.7156704,0.147156704,SLOW,15.3175871,0.153175871,5,100,10
15,2,N,U,0,0,16.5,3,NU,14.7156704,0.147156704,SLOW,15.3175871,0.153175871,5,100,10
15,3,P,H,0,0,16.5,3,PH,5.3085856,0.053085856,SLOW,5.1259573,0.051259573,5,100,10
15,4,N,H,19,78,16.5,2,NH,5.3085856,0.053085856,SLOW,5.1259573,0.051259573,5,100,10
16,1,P,U,153,155,18.7,2,PU,9.8152635,0.098152635,SLOW,15.0617991,0.150617991,5,108,10.8
16,2,N,U,54,55,18.5,2,NU,9.8152635,0.098152635,SLOW,15.0617991,0.150617991,5,108,10.8
16,3,P,H,109,116,18.2,2,PH,17.0532649,0.170532649,SLOW,9.9955573,0.099955573,5,108,10.8
16,4,N,H,38,40,17.8,2,NH,17.0532649,0.170532649,SLOW,9.9955573,0.099955573,5,108,10.8
17,1,P,U,0,0,17.7,3,PU,10.3646671,0.103646671,SLOW,13.688047,0.13688047,1,99,9.9
17,2,N,U,25,32,19.6,2,NU,10.3646671,0.103646671,SLOW,13.688047,0.13688047,1,99,9.9
17,3,P,H,15,17,18.9,2,PH,25.7169858,0.257169858,SLOW,10.3264771,0.103264771,1,99,9.9
17,4,N,H,34,38,18.7,2,NH,25.7169858,0.257169858,SLOW,10.3264771,0.103264771,1,99,9.9
18,1,P,U,45,48,17.9,2,PU,21.2200638,0.212200638,SLOW,4.4575884,0.044575884,4,138,13.8
18,2,N,U,0,0,17.4,3,NU,21.2200638,0.212200638,SLOW,4.4575884,0.044575884,4,138,13.8
18,3,P,H,14,0,19.6,1,PH,34.1325373,0.341325373,FAST,3.9731902,0.039731902,4,138,13.8
18,4,N,H,1,4,18.6,1,NH,34.1325373,0.341325373,FAST,3.9731902,0.039731902,4,138,13.8
19,1,P,U,23,25,20.2,2,PU,22.2883507,0.222883507,SLOW,6.6426195,0.066426195,4,139,13.9
19,2,N,U,41,46,18.4,2,NU,22.2883507,0.222883507,SLOW,6.6426195,0.066426195,4,139,13.9
19,3,P,H,0,0,17.5,3,PH,28.0040916,0.280040916,SLOW,23.0903044,0.230903044,4,139,13.9
19,4,N,H,3,7,18.7,1,NH,28.0040916,0.280040916,FAST,23.0903044,0.230903044,4,139,13.9
21,1,P,U,0,0,18,3,PU,9.9706618,0.099706618,SLOW,13.3907551,0.133907551,3,237,23.7
21,2,N,U,100,104,19.4,2,NU,9.9706618,0.099706618,SLOW,13.3907551,0.133907551,3,237,23.7
21,3,P,H,41,45,18.6,2,PH,24.3183109,0.243183109,SLOW,10.527093,0.10527093,3,237,23.7
21,4,N,H,0,0,18.4,3,NH,24.3183109,0.243183109,SLOW,10.527093,0.10527093,3,237,23.7
22,1,P,U,18,20,18.2,2,PU,22.5498514,0.225498514,SLOW,3.5620306,0.035620306,5,185,18.5
22,2,N,U,145,146,17.8,2,NU,22.5498514,0.225498514,SLOW,3.5620306,0.035620306,5,185,18.5
22,3,P,H,6,13,19.1,1,PH,28.3297973,0.283297973,FAST,9.6659017,0.096659017,5,185,18.5
22,4,N,H,70,73,19.6,2,NH,28.3297973,0.283297973,SLOW,9.6659017,0.096659017,5,185,18.5
23,1,P,U,16,18,20.2,2,PU,16.578148,0.16578148,SLOW,12.2444232,0.122444232,4,177,17.7
23,2,N,U,154,156,19.1,2,NU,16.578148,0.16578148,SLOW,12.2444232,0.122444232,4,177,17.7
23,3,P,H,25,26,17.7,2,PH,6.5871221,0.065871221,SLOW,7.5444467,0.075444467,4,177,17.7
23,4,N,H,22,24,18.7,2,NH,6.5871221,0.065871221,SLOW,7.5444467,0.075444467,4,177,17.7
24,1,P,U,55,57,18.5,2,PU,20.7166723,0.207166723,SLOW,16.0280577,0.160280577,4,194,19.4
24,2,N,U,35,38,19.5,2,NU,20.7166723,0.207166723,SLOW,16.0280577,0.160280577,4,194,19.4
24,3,P,H,95,97,18.8,2,PH,21.9613531,0.219613531,SLOW,4.5030258,0.045030258,4,194,19.4
24,4,N,H,35,37,17.8,2,NH,21.9613531,0.219613531,SLOW,4.5030258,0.045030258,4,194,19.4
25,1,P,U,27,31,17.4,2,PU,16.734926,0.16734926,SLOW,9.757654,0.09757654,1,229,22.9
25,2,N,U,79,82,19.1,2,NU,16.734926,0.16734926,SLOW,9.757654,0.09757654,1,229,22.9
25,3,P,H,90,102,18.2,2,PH,20.3433665,0.203433665,SLOW,2.9453384,0.029453384,1,229,22.9
25,4,N,H,57,60,18.1,2,NH,20.3433665,0.203433665,SLOW,2.9453384,0.029453384,1,229,22.9
26,1,P,U,0,0,18.3,3,PU,17.4140191,0.174140191,SLOW,10.1306142,0.101306142,3,205,20.5
26,2,N,U,0,0,17.7,3,NU,17.4140191,0.174140191,SLOW,10.1306142,0.101306142,3,205,20.5
26,3,P,H,48,52,19.3,2,PH,15.9501195,0.159501195,SLOW,2.620799,0.02620799,3,205,20.5
26,4,N,H,37,40,20,2,NH,15.9501195,0.159501195,SLOW,2.620799,0.02620799,3,205,20.5
27,1,P,U,102,104,18,2,PU,17.446081,0.17446081,SLOW,12.7301438,0.127301438,1,145,14.5
27,2,N,U,63,65,18.6,2,NU,17.446081,0.17446081,SLOW,12.7301438,0.127301438,1,145,14.5
27,3,P,H,23,24,17.5,2,PH,17.1873974,0.171873974,SLOW,9.7257954,0.097257954,1,145,14.5
27,4,N,H,107,112,18.7,2,NH,17.1873974,0.171873974,SLOW,9.7257954,0.097257954,1,145,14.5
28,1,P,U,10,70,18.7,2,PU,22.9638715,0.229638715,SLOW,7.1636008,0.071636008,4,169,16.9
28,2,N,U,24,28,19.6,2,NU,22.9638715,0.229638715,SLOW,7.1636008,0.071636008,4,169,16.9
28,3,P,H,90,93,17.4,2,PH,26.2163031,0.262163031,SLOW,5.7040501,0.057040501,4,169,16.9
28,4,N,H,106,109,17.4,2,NH,26.2163031,0.262163031,SLOW,5.7040501,0.057040501,4,169,16.9
29,1,P,U,0,0,17.9,3,PU,14.2641764,0.142641764,SLOW,13.4076701,0.134076701,1,178,17.8
29,2,N,U,0,0,19,3,NU,14.2641764,0.142641764,SLOW,13.4076701,0.134076701,1,178,17.8
29,3,P,H,20,24,18.4,2,PH,9.2652477,0.092652477,SLOW,10.502067,0.10502067,1,178,17.8
29,4,N,H,20,28,18.4,2,NH,9.2652477,0.092652477,SLOW,10.502067,0.10502067,1,178,17.8
30,1,P,U,40,43,17.6,2,PU,18.2504652,0.182504652,SLOW,11.1672102,0.111672102,4,164,16.4
30,2,N,U,0,0,17.5,3,NU,18.2504652,0.182504652,SLOW,11.1672102,0.111672102,4,164,16.4
30,3,P,H,66,69,18.71,2,PH,21.479421,0.21479421,SLOW,8.6392842,0.086392842,4,164,16.4
30,4,N,H,45,48,19.9,2,NH,21.479421,0.21479421,SLOW,8.6392842,0.086392842,4,164,16.4
33,1,P,U,5,7,25.7,1,PU,23.4535422,0.234535422,FAST,17.8606983,0.178606983,2,147,14.7
33,2,N,U,10,12,22.5,2,NU,23.4535422,0.234535422,SLOW,17.8606983,0.178606983,2,147,14.7
33,3,P,H,81,83,21.6,2,PH,27.429905,0.27429905,SLOW,11.2976141,0.112976141,2,147,14.7
33,4,N,H,15,16,21.1,2,NH,27.429905,0.27429905,SLOW,11.2976141,0.112976141,2,147,14.7
35,1,P,U,14,18,19.1,2,PU,3.4884615,0.034884615,SLOW,14.745892,0.14745892,5,171,17.1
35,2,N,U,30,32,22.2,2,NU,3.4884615,0.034884615,SLOW,14.745892,0.14745892,5,171,17.1
35,3,P,H,10,14,22,2,PH,1.9592499,0.019592499,SLOW,6.6869926,0.066869926,5,171,17.1
35,4,N,H,13,14,21.9,2,NH,1.9592499,0.019592499,SLOW,6.6869926,0.066869926,5,171,17.1
36,1,P,U,38,42,21.1,2,PU,18.7762669,0.187762669,SLOW,11.0541375,0.110541375,4,197,19.7
36,2,N,U,9,13,22.7,2,NU,18.7762669,0.187762669,SLOW,11.0541375,0.110541375,4,197,19.7
36,3,P,H,11,13,21.1,2,PH,20.0252655,0.200252655,SLOW,8.7310325,0.087310325,4,197,19.7
36,4,N,H,22,26,22.4,2,NH,20.0252655,0.200252655,SLOW,8.7310325,0.087310325,4,197,19.7
37,1,P,U,20,21,22,2,PU,19.7730969,0.197730969,SLOW,36.3971339,0.363971339,4,135,13.5
37,2,N,U,22,24,22.1,2,NU,19.7730969,0.197730969,SLOW,36.3971339,0.363971339,4,135,13.5
37,3,P,H,47,52,22.9,2,PH,17.6293372,0.176293372,SLOW,31.7664982,0.317664982,4,135,13.5
37,4,N,H,30,33,22.2,2,NH,17.6293372,0.176293372,SLOW,31.7664982,0.317664982,4,135,13.5
38,1,P,U,11,45,21.6,2,PU,15.6282093,0.156282093,SLOW,26.1761667,0.261761667,1,86,8.6
38,2,N,U,120,145,23.5,2,NU,15.6282093,0.156282093,SLOW,26.1761667,0.261761667,1,86,8.6
38,3,P,H,0,0,22.2,3,PH,15.6849632,0.156849632,SLOW,32.8409036,0.328409036,1,86,8.6
38,4,N,H,12,37,19.2,2,NH,15.6849632,0.156849632,SLOW,32.8409036,0.328409036,1,86,8.6
39,1,P,U,26,45,22.8,2,PU,0.8130479,0.008130479,SLOW,7.89784,0.0789784,5,158,15.8
39,2,N,U,10,12,22.7,2,NU,0.8130479,0.008130479,SLOW,7.89784,0.0789784,5,158,15.8
39,3,P,H,33,35,21.6,2,PH,10.989277,0.10989277,SLOW,2.0061436,0.020061436,5,158,15.8
39,4,N,H,50,52,21,2,NH,10.989277,0.10989277,SLOW,2.0061436,0.020061436,5,158,15.8
42,1,P,U,35,37,23.1,2,PU,21.5354922,0.215354922,SLOW,2.8499543,0.028499543,4,144,14.4
42,2,N,U,34,36,21.9,2,NU,21.5354922,0.215354922,SLOW,2.8499543,0.028499543,4,144,14.4
42,3,P,H,0,0,19.2,3,PH,26.0524494,0.260524494,SLOW,14.17411,0.1417411,4,144,14.4
42,4,N,H,52,66,22.2,2,NH,26.0524494,0.260524494,SLOW,14.17411,0.1417411,4,144,14.4
43,1,P,U,26,30,21.2,2,PU,19.7513123,0.197513123,SLOW,2.0407999,0.020407999,4,147,14.7
43,2,N,U,27,31,22.8,2,NU,19.7513123,0.197513123,SLOW,2.0407999,0.020407999,4,147,14.7
43,3,P,H,66,90,22.1,2,PH,19.7500807,0.197500807,SLOW,9.1212821,0.091212821,4,147,14.7
43,4,N,H,19,20,20.8,2,NH,19.7500807,0.197500807,SLOW,9.1212821,0.091212821,4,147,14.7
44,1,P,U,46,50,20.8,2,PU,21.2083507,0.212083507,SLOW,5.4155897,0.054155897,2,336,33.6
44,2,N,U,29,36,23.6,2,NU,21.2083507,0.212083507,SLOW,5.4155897,0.054155897,2,336,33.6
44,3,P,H,30,32,22.6,2,PH,20.7990834,0.207990834,SLOW,16.4507792,0.164507792,2,336,33.6
44,4,N,H,12,20,24.1,2,NH,20.7990834,0.207990834,SLOW,16.4507792,0.164507792,2,336,33.6
45,1,P,U,17,20,22,2,PU,22.0042918,0.220042918,SLOW,8.5374821,0.085374821,2,364,36.4
45,2,N,U,13,17,20.5,2,NU,22.0042918,0.220042918,SLOW,8.5374821,0.085374821,2,364,36.4
