Individual,Trial,Predator,Circle,Initial ,Total ,Treatment,Scale Time,EscapeResponse,ColourDiffPercent,Colour Diff,Brightness D,Brightness.DifferencePercent,Avg Time,Weber Contrast
1,1,P,B,20,21,PB,2,SLOW,12.1010963,0.121010963,1096.352,1.672925917,20.5,0.139760906
1,2,N,B,14,21,NB,2,SLOW,12.1010963,0.121010963,1096.352,1.672925917,17.5,0.139760906
1,3,P,Y,1,2,PY,1,FAST,3.4063475,0.034063475,10657.59967,16.26245467,1.5,-0.543598892
1,4,N,Y,8,14,NY,2,SLOW,3.4063475,0.034063475,10657.59967,16.26245467,11,-0.543598892
2,1,P,B,5,8,PB,1,FAST,17.7439685,0.177439685,4969.642,7.58318761,6.5,-0.776098205
2,2,N,B,0,0,NB,3,SLOW,17.7439685,0.177439685,4969.642,7.58318761,0,-0.776098205
2,3,P,Y,3,12,PY,1,FAST,4.6304412,0.046304412,18927.13467,28.88095623,7.5,-0.92960005
2,4,N,Y,6,20,NY,2,SLOW,4.6304412,0.046304412,18927.13467,28.88095623,13,-0.92960005
3,1,P,B,2,3,PB,1,FAST,12.3610897,0.123610897,5737.175667,8.754368912,2.5,-0.840480883
3,2,N,B,8,9,NB,1,FAST,12.3610897,0.123610897,5737.175667,8.754368912,8.5,-0.840480883
3,3,P,Y,1,2,PY,1,FAST,3.9567605,0.039567605,18141.50533,27.68216271,1.5,-0.943388061
3,4,N,Y,4,6,NY,1,FAST,3.9567605,0.039567605,18141.50533,27.68216271,5,-0.943388061
4,1,P,B,2,3,PB,1,FAST,15.5064935,0.155064935,4303.830333,6.56722413,2.5,-0.714729101
4,2,N,B,28,31,NB,2,SLOW,15.5064935,0.155064935,4303.830333,6.56722413,29.5,-0.714729101
4,3,P,Y,2,3,PY,1,FAST,2.9811925,0.029811925,17868.58667,27.26571552,2.5,-0.912317312
4,4,N,Y,4,6,NY,1,FAST,2.9811925,0.029811925,17868.58667,27.26571552,5,-0.912317312
5,1,P,B,1,2,PB,1,FAST,15.6411988,0.156411988,1065.091,1.625224689,1.5,0.13588874
5,2,N,B,21,24,NB,2,SLOW,15.6411988,0.156411988,1065.091,1.625224689,22.5,0.13588874
5,3,P,Y,1,2,PY,1,FAST,3.4893419,0.034893419,11339.824,17.30346227,1.5,-0.55988116
5,4,N,Y,13,21,NY,2,SLOW,3.4893419,0.034893419,11339.824,17.30346227,17,-0.55988116
6,1,P,B,2,3,PB,1,FAST,12.7746525,0.127746525,5270.75,8.042648966,2.5,-0.742656086
6,2,N,B,3,4,NB,1,FAST,12.7746525,0.127746525,5270.75,8.042648966,3.5,-0.742656086
6,3,P,Y,1,2,PY,1,FAST,2.6723531,0.026723531,19577.774,29.87376822,1.5,-0.914688191
6,4,N,Y,50,51,NY,2,SLOW,2.6723531,0.026723531,19577.774,29.87376822,50.5,-0.914688191
7,1,P,B,4,5,PB,1,FAST,19.3968196,0.193968196,5391.971333,8.227620864,4.5,-0.799519497
7,2,N,B,3,6,NB,1,FAST,19.3968196,0.193968196,5391.971333,8.227620864,4.5,-0.799519497
7,3,P,Y,14,16,PY,2,SLOW,4.8075345,0.048075345,18121.92667,27.65228758,15,-0.930586852
7,4,N,Y,15,20,NY,2,SLOW,4.8075345,0.048075345,18121.92667,27.65228758,17.5,-0.930586852
8,1,P,B,1,2,PB,1,FAST,15.2797905,0.152797905,4548.798333,6.941021337,1.5,-0.738385656
8,2,N,B,4,5,NB,1,FAST,15.2797905,0.152797905,4548.798333,6.941021337,4.5,-0.738385656
8,3,P,Y,3,4,PY,1,FAST,4.2796878,0.042796878,18941.49467,28.90286819,3.5,-0.921604036
8,4,N,Y,4,6,NY,1,FAST,4.2796878,0.042796878,18941.49467,28.90286819,5,-0.921604036
9,1,P,B,4,7,PB,1,FAST,8.4482034,0.084482034,4524.065667,6.903281707,5.5,-0.644016771
9,2,N,B,7,15,NB,2,SLOW,8.4482034,0.084482034,4524.065667,6.903281707,11,-0.644016771
9,3,P,Y,1,2,PY,1,FAST,7.3158146,0.073158146,18109.259,27.63295796,1.5,-0.878691611
9,4,N,Y,5,20,NY,2,SLOW,7.3158146,0.073158146,18109.259,27.63295796,12.5,-0.878691611
10,1,P,B,1,2,PB,1,FAST,15.0553453,0.150553453,3862.394667,5.893636479,1.5,-0.579542215
10,2,N,B,33,35,NB,2,SLOW,15.0553453,0.150553453,3862.394667,5.893636479,34,-0.579542215
10,3,P,Y,1,2,PY,1,FAST,2.3048625,0.023048625,17524.77,26.74108492,1.5,-0.862180057
10,4,N,Y,1,10,NY,1,FAST,2.3048625,0.023048625,17524.77,26.74108492,5.5,-0.862180057
11,1,P,B,31,32,PB,2,SLOW,29.9566435,0.299566435,5260.77,8.027420462,31.5,-0.889930563
11,2,N,B,84,89,NB,2,SLOW,29.9566435,0.299566435,5260.77,8.027420462,86.5,-0.889930563
11,3,P,Y,2,3,PY,1,FAST,13.865188,0.13865188,18034.05567,27.51820503,2.5,-0.965184147
11,4,N,Y,211,213,NY,2,SLOW,13.865188,0.13865188,18034.05567,27.51820503,212,-0.965184147
12,1,P,B,62,63,PB,2,SLOW,11.9318577,0.119318577,4012.417667,6.122556903,62.5,-0.865831904
12,2,N,B,158,162,NB,2,SLOW,11.9318577,0.119318577,4012.417667,6.122556903,160,-0.865831904
12,3,P,Y,9,13,PY,2,SLOW,8.9495598,0.089495598,17085.406,26.07065843,11,-0.96489512
12,4,N,Y,41,48,NY,2,SLOW,8.9495598,0.089495598,17085.406,26.07065843,44.5,-0.96489512
13,1,P,B,1,2,PB,1,FAST,18.8749061,0.188749061,5657.644667,8.633012385,1.5,-0.86766451
13,2,N,B,15,18,NB,2,SLOW,18.8749061,0.188749061,5657.644667,8.633012385,16.5,-0.86766451
13,3,P,Y,1,2,PY,1,FAST,2.5815567,0.025815567,20589.02933,31.41684494,1.5,-0.959783979
13,4,N,Y,19,21,NY,2,SLOW,2.5815567,0.025815567,20589.02933,31.41684494,20,-0.959783979
14,1,P,B,3,8,PB,1,FAST,6.7920274,0.067920274,20360.122,31.06755474,5.5,2.856427502
14,2,N,B,32,35,NB,2,SLOW,6.7920274,0.067920274,20360.122,31.06755474,33.5,2.856427502
14,3,P,Y,1,2,PY,1,FAST,8.2900274,0.082900274,7826.897,11.94307927,1.5,0.397940385
14,4,N,Y,9,12,NY,2,SLOW,8.2900274,0.082900274,7826.897,11.94307927,10.5,0.397940385
15,1,P,B,5,6,PB,1,FAST,20.1717805,0.201717805,5759.539,8.788493172,5.5,-0.818503736
15,2,N,B,19,21,NB,2,SLOW,20.1717805,0.201717805,5759.539,8.788493172,20,-0.818503736
15,3,P,Y,4,12,PY,1,FAST,5.4061616,0.054061616,19178.83767,29.26503039,8,-0.93758006
15,4,N,Y,84,88,NY,2,SLOW,5.4061616,0.054061616,19178.83767,29.26503039,86,-0.93758006
16,1,P,B,2,3,PB,1,FAST,20.0503976,0.200503976,3458.315333,5.27705094,2.5,-0.706933384
16,2,N,B,57,67,NB,2,SLOW,20.0503976,0.200503976,3458.315333,5.27705094,62,-0.706933384
16,3,P,Y,2,3,PY,1,FAST,1.8942028,0.018942028,16961.92433,25.88223748,2.5,-0.922085535
16,4,N,Y,27,29,NY,2,SLOW,1.8942028,0.018942028,16961.92433,25.88223748,28,-0.922085535
17,1,P,B,17,20,PB,2,SLOW,9.6536037,0.096536037,5383.808333,8.215164925,18.5,-0.823497844
17,2,N,B,51,58,NB,2,SLOW,9.6536037,0.096536037,5383.808333,8.215164925,54.5,-0.823497844
17,3,P,Y,31,36,PY,2,SLOW,7.1316525,0.071316525,17036.012,25.99528801,33.5,-0.936575051
17,4,N,Y,17,27,NY,2,SLOW,7.1316525,0.071316525,17036.012,25.99528801,22,-0.936575051
18,1,P,B,3,4,PB,1,FAST,24.9288266,0.249288266,4775.267,7.286590372,3.5,-0.758048901
